IdentifiantClient;Nom;Prenom;Adresse;DateDeSouscription
2564919;Hill;Campbell;Allée des Hortensias;2013-09-22
2564920;Ramirez;Carlson;Allée des Justes Parmi les Nations;2020-10-19
2564921;Campbell;Carpenter;Allée des Lapins;2014-08-20
2564922;Mitchell;Carr;Allée des Mauves;2017-09-14
2564923;Roberts;Carroll;Allée des Orgues de Flandre;2012-02-12
2564924;Carter;Carter;Allée des Poteaux;2012-09-26
2564925;Phillips;Castillo;Allée des Quatre Carrefours;2013-08-14
2564926;Evans;Castro;Allée des Refuzniks;2020-01-08
2564927;Turner;Chambers;Allée des Vergers;2010-07-12
2564928;Torres;Chapman;Allée Diane de Poitiers;2012-06-10
2564929;Parker;Chavez;Allée du Beau Passage;2015-10-24
2564930;Collins;Chen;Allée du Bord de l'Eau;2020-12-21
2564931;Edwards;Clark;Allée du Brindeau;2017-01-13
2564932;Stewart;Cohen;Allée du Capitaine Dronne;2011-02-17
2564933;Flores;Cole;Allée du ChÃ¢teau Ouvrier;2019-03-03
2564934;Morris;Coleman;Allée du Chef d'Escadron de Guillebon;2021-04-15
2564935;Nguyen;Collins;Allée du Commandant Raynal;2017-11-16
2564936;Murphy;Contreras;Allée du Général Denain;2016-05-29
2564937;Rivera;Cook;Allée du Général Koenig;2015-04-15
2564938;Cook;Cooper;Allée du Pâre Julien Dhuit;2016-08-27
2564939;Rogers;Cox;Allée du Parc de Choisy;2011-03-04
2564940;Morgan;Craig;Allée du Philosophe;2020-05-16
2564941;Peterson;Crawford;Allée du Révérend Pâre Michel Riquet;2011-04-27
2564942;Cooper;Cruz;Allée Eric Chabeur;2012-10-01
2564943;Reed;Cunningham;Allée Eugénie;2011-09-09
2564944;Bailey;Curtis;Allée Fortunée;2017-08-06
2564945;Bell;Daniels;Allée Gabrielle d'Estrées;2015-07-10
2564946;Gomez;Davidson;Allée Gaston Bachelard;2016-02-16
2564947;Kelly;Davis;Allée Georges Besse;2020-11-29
2564948;Howard;Day;Allée Georges Recipon;2018-01-16
2564949;Ward;Dean;Allée Georges Rouault;2010-01-17
2564950;Cox;Delgado;Allée Henry Dunant;2020-04-12
2564951;Diaz;Diaz;Allée Irène Némirovsky;2017-06-04
2564952;Richardson;Dixon;Allée Isadora Duncan;2021-06-27
2564953;Wood;Douglas;Allée Jacques Derrida;2020-01-22
2564954;Watson;Duncan;Allée Jean Paulhan;2019-03-21
2564955;Brooks;Dunn;Allée Jean-François Divry;2020-04-20
2564956;Bennett;Edwards;Allée Jean-Jacques Servan-schreiber;2019-05-31
2564957;Gray;Elliott;Allée Joseph Récamier;2022-05-15
2564958;James;Ellis;Allée Jules Supervielle;2015-12-03
2564959;Reyes;Estrada;Allée Léon Bourgeois;2014-09-16
2564960;Cruz;Evans;Allée Le Gramat;2022-05-07
2564961;Hughes;Ferguson;Allée Louis Aragon;2012-10-08
2564962;Price;Fernandez;Allée Louis de Funâs;2018-07-28
2564963;Myers;Fields;Allée Louise Labé;2020-10-26
2564964;Long;Fisher;Allée Lydia Becker;2021-12-18
2564965;Foster;Fleming;Allée Maintenon;2010-12-21
2564966;Sanders;Flores;Allée Marc Chagall;2019-02-21
2564967;Ross;Ford;Allée Marcel Jambenoire;2013-10-04
2564968;Morales;Foster;Allée Marcel Proust;2010-11-22
2564969;Powell;Fowler;Allée Marguerite Yourcenar;2014-10-13
2564970;Sullivan;Fox;Allée Maria Doriath;2012-06-15
2564971;Russell;Franklin;Allée Marianne Breslauer;2019-12-02
2564972;Ortiz;Frazier;Allée Marie Laurent;2019-08-17
2564973;Jenkins;Freeman;Allée Marius Barroux;2021-08-11
2564974;Gutierrez;Fuller;Allée Maurice Baumont;2021-12-04
2564975;Perry;Garcia;Allée Maya Surduts;2014-02-11
2564976;Butler;Gardner;Allée Mireille Knoll;2016-09-04
2564977;Barnes;Garrett;Allée Neus CatalÃ ;2011-02-13
2564978;Fisher;Garza;Allée Nicole Girard-Mangin;2010-03-19
2564979;Henderson;George;Allée Nijinski;2016-09-17
2564980;Coleman;Gibson;Allée Nina Simone;2021-05-13
2564981;Simmons;Gilbert;Allée Paris-Ivry;2011-03-31
2564982;Patterson;Gomez;Allée Paul Deschanel;2016-11-28
2564983;Jordan;Gonzales;Allée Pauline Léon;2012-06-28
2564984;Reynolds;Gonzalez;Allée Pernette du Guillet;2019-09-15
2564985;Hamilton;Gordon;Allée Pierre Bérégovoy;2012-12-15
2564986;Graham;Graham;Allée Pierre Lazareff;2013-08-24
2564987;Kim;Grant;Allée Pierre Mollaret;2016-06-19
2564988;Gonzales;Gray;Allée Pierre-Christian Taittinger;2020-07-07
2564989;Alexander;Green;Allée PilÃ¢tre de Rozier;2020-07-19
2564990;Ramos;Greene;Allée Professeur Jean Bernard;2018-01-01
2564991;Wallace;Gregory;Allée Rimski-Korsakov;2010-07-29
2564992;Griffin;Griffin;Allée Rodenbach;2015-11-20
2564993;West;Guerrero;Allée Royale;2010-12-16
2564994;Cole;Gutierrez;Allée Saint-Denis;2020-04-01
2564995;Hayes;Guzman;Allée Samuel Beckett;2018-12-12
2564996;Chavez;Hall;Allée Soeur Emmanuelle;2018-09-29
2564997;Gibson;Hamilton;Allée Stefa Skurnik;2016-10-15
2564998;Bryant;Hansen;Allée Suzanne NoÃ«l;2015-06-09
2564999;Ellis;Hanson;Allée Thomy-Thierry;2012-02-08
2565000;Stevens;Harper;Allée Valentin Abeille;2014-09-13
2565001;Murray;Harris;Allée Verhaeren;2013-01-20
2565002;Ford;Harrison;Allée Verte;2017-06-13
2565003;Marshall;Hart;Allée Vivaldi;2020-07-15
2565004;Owens;Harvey;Allée Yvette Guilbert;2013-06-20
2565005;Mcdonald;Hawkins;Allée Zabel Essayan;2018-12-07
2565006;Harrison;Hayes;Allées Jacques Brel;2019-10-19
2565007;Ruiz;Henderson;Arcades des Champs Elysées;2022-05-08
2565008;Kennedy;Henry;Autoroute A13;2010-11-10
2565009;Wells;Hernandez;Autoroute A4;2013-09-29
2565010;Alvarez;Herrera;Avenue Adrien Hébrard;2011-03-02
2565011;Woods;Hicks;Avenue Albert Bartholomé;2016-08-15
2565012;Mendoza;Hill;Avenue Albert de Mun;2021-05-07
2565013;Castillo;Hoffman;Avenue Albert Ier de Monaco;2011-12-08
2565014;Olson;Holland;Avenue Alphand;2020-05-13
2565015;Webb;Holmes;Avenue Alphonse XIII;2016-11-26
2565016;Washington;Holt;Avenue Ambroise Rendu;2012-08-08
2565017;Tucker;Hopkins;Avenue Anatole France;2013-03-13
2565018;Freeman;Howard;Avenue André Rivoire;2010-04-18
2565019;Burns;Howell;Avenue Anne-Eugénie Milleret de Brou;2012-06-04
2565020;Henry;Hudson;Avenue Armand Rousseau;2018-02-01
2565021;Vasquez;Hughes;Avenue Barbey d'Aurevilly;2011-12-07
2565022;Snyder;Hunt;Avenue Beaucour;2013-04-29
2565023;Simpson;Hunter;Avenue BenoÃ®t Frachon;2013-11-06
2565024;Crawford;Jackson;Avenue Bertie Albrecht;2019-10-05
2565025;Jimenez;Jacobs;Avenue Bosquet;2021-08-26
2565026;Porter;James;Avenue Boudon;2012-08-24
2565027;Mason;Jenkins;Avenue Boutroux;2010-08-06
2565028;Shaw;Jennings;Avenue Brunetiâre;2020-12-14
2565029;Gordon;Jensen;Avenue Bugeaud;2022-08-10
2565030;Wagner;Jimenez;Avenue César Caire;2016-11-09
2565031;Hunter;Johnson;Avenue Caffieri;2021-04-01
2565032;Romero;Johnston;Avenue Carnot;2016-01-17
2565033;Hicks;Jones;Avenue Cartellier;2018-08-18
2565034;Dixon;Jordan;Avenue Chantemesse;2021-10-14
2565035;Hunt;Keller;Avenue Charles de Foucauld;2016-01-02
2565036;Palmer;Kelley;Avenue Charles Floquet;2022-01-18
2565037;Robertson;Kelly;Avenue Charles Girault;2015-03-04
2565038;Black;Kennedy;Avenue Charles Risler;2021-10-02
2565039;Holmes;Kim;Avenue Claude Regaud;2013-10-08
2565040;Stone;King;Avenue Claude Vellefaux;2013-01-16
2565041;Meyer;Knight;Avenue Constant Coquelin;2015-06-11
2565042;Boyd;Lambert;Avenue Corentin Cariou;2020-06-23
2565043;Mills;Lane;Avenue Courteline;2014-08-22
2565044;Warren;Larson;Avenue Daniel Lesueur;2022-11-13
2565045;Fox;Lawrence;Avenue Darcel;2012-08-27
2565046;Rose;Lawson;Avenue Daumesnil;2010-02-23
2565047;Rice;Lee;Avenue David Weill;2010-12-04
2565048;Moreno;Leonard;Avenue de Bel-Air;2021-07-06
2565049;Schmidt;Lewis;Avenue de Boufflers;2011-06-17
2565050;Patel;Little;Avenue de Bouvines;2019-06-17
2565051;Ferguson;Long;Avenue de Breteuil;2017-10-09
2565052;Nichols;Lopez;Avenue de CamoÃ«ns;2013-12-05
2565053;Herrera;Lowe;Avenue de Champaubert;2019-11-25
2565054;Medina;Lucas;Avenue de Choisy;2020-02-08
2565055;Ryan;Lynch;Avenue de Clichy;2021-08-25
2565056;Fernandez;Maldonado;Avenue de Corbera;2020-01-09
2565057;Weaver;Marshall;Avenue de Crimée;2022-01-15
2565058;Daniels;Martin;Avenue de Flandre;2014-06-07
2565059;Stephens;Martinez;Avenue de Fontenay;2020-04-12
2565060;Gardner;Mason;Avenue de France;2013-02-18
2565061;Payne;Matthews;Avenue de Friedland;2019-12-07
2565062;Kelley;May;Avenue de Gravelle;2013-08-01
2565063;Dunn;Mccoy;Avenue de Joinville;2011-05-16
2565064;Pierce;Mcdaniel;Avenue de la Belle Gabrielle;2011-12-10
2565065;Arnold;Mcdonald;Avenue de la Bourdonnais;2012-02-01
2565066;Tran;Medina;Avenue de la Cascade;2020-10-22
2565067;Spencer;Mendez;Avenue de la Chapelle;2022-01-20
2565068;Peters;Mendoza;Avenue de la Dame Blanche;2020-10-18
2565069;Hawkins;Meyer;Avenue de la Frilliâre;2015-01-06
2565070;Grant;Miller;Avenue de la Grande Armée;2011-06-05
2565071;Hansen;Mills;Avenue de la Grotte;2014-12-19
2565072;Castro;Mitchell;Avenue de la Motte-Picquet;2011-07-10
2565073;Hoffman;Montgomery;Avenue de la Pépiniâre;2017-01-24
2565074;Hart;Moore;Avenue de la Porte Brancion;2019-06-25
2565075;Elliott;Morales;Avenue de la Porte Brunet;2019-07-26
2565076;Cunningham;Moreno;Avenue de la Porte Chaumont;2014-04-20
2565077;Knight;Morgan;Avenue de la Porte d'Asniâres;2015-05-30
2565078;Bradley;Morris;Avenue de la Porte d'Aubervilliers;2012-07-14
2565079;Carroll;Morrison;Avenue de la Porte d'Auteuil;2019-09-07
2565080;Hudson;Munoz;Avenue de la Porte de Bagnolet;2011-08-21
2565081;Duncan;Murphy;Avenue de la Porte de ChÃ¢tillon;2014-05-15
2565082;Armstrong;Murray;Avenue de la Porte de Champerret;2011-10-14
2565083;Berry;Myers;Avenue de la Porte de Charenton;2017-06-23
2565084;Andrews;Neal;Avenue de la Porte de Choisy;2015-06-25
2565085;Johnston;Nelson;Avenue de la Porte de Clichy;2016-12-17
2565086;Ray;Newman;Avenue de la Porte de Clignancourt;2019-01-13
2565087;Lane;Nguyen;Avenue de la Porte de la Chapelle;2014-01-29
2565088;Riley;Nichols;Avenue de la Porte de la Plaine;2022-10-27
2565089;Carpenter;Norris;Avenue de la Porte de la Villette;2014-12-06
2565090;Perkins;Nunez;Avenue de la Porte de Ménilmontant;2020-01-21
2565091;Aguilar;Obrien;Avenue de la Porte de Montmartre;2010-06-19
2565092;Silva;Oliver;Avenue de la Porte de Montreuil;2012-03-20
2565093;Richards;Olson;Avenue de la Porte de Montrouge;2015-07-17
2565094;Willis;Ortega;Avenue de la Porte de Pantin;2016-09-27
2565095;Matthews;Ortiz;Avenue de la Porte de Plaisance;2012-10-06
2565096;Chapman;Owens;Avenue de la Porte de Sâvres;2012-09-25
2565097;Lawrence;Palmer;Avenue de la Porte de Saint-Cloud;2010-08-26
2565098;Garza;Parker;Avenue de la Porte de Saint-Ouen;2018-08-24
2565099;Vargas;Parks;Avenue de la Porte de Vanves;2020-05-05
2565100;Watkins;Patel;Avenue de la Porte de Villiers;2016-01-05
2565101;Wheeler;Patterson;Avenue de la Porte de Vincennes;2015-06-12
2565102;Larson;Payne;Avenue de la Porte de Vitry;2017-06-24
2565103;Carlson;Pearson;Avenue de la Porte des Lilas;2013-01-29
2565104;Harper;Pena;Avenue de la Porte des Poissonniers;2011-11-21
2565105;George;Perez;Avenue de la Porte des Ternes;2019-10-12
2565106;Greene;Perkins;Avenue de la Porte Didot;2016-12-30
2565107;Burke;Perry;Avenue de la Porte d'Italie;2018-12-28
2565108;Guzman;Peters;Avenue de la Porte d'Ivry;2017-07-10
2565109;Morrison;Peterson;Avenue de la Porte d'Orléans;2021-12-01
2565110;Munoz;Phillips;Avenue de la Porte du Pré Saint-Gervais;2016-07-22
2565111;Jacobs;Pierce;Avenue de la Porte Molitor;2016-05-22
2565112;Obrien;Porter;Avenue de la Porte Pouchet;2019-06-24
2565113;Lawson;Powell;Avenue de la République;2010-12-23
2565114;Franklin;Powers;Avenue de la Sibelle;2022-09-16
2565115;Lynch;Price;Avenue de la Soeur Rosalie;2021-07-03
2565116;Bishop;Ramirez;Avenue de la Tunisie;2015-01-17
2565117;Carr;Ramos;Avenue de l'Abbé Roussel;2021-01-20
2565118;Salazar;Ray;Avenue de Lamballe;2014-11-10
2565119;Austin;Reed;Avenue de Laumiâre;2014-11-18
2565120;Mendez;Reid;Avenue de l'Ecole de Joinville;2018-01-09
2565121;Gilbert;Reyes;Avenue de l'Ermitage;2013-05-02
2565122;Jensen;Reynolds;Avenue de l'Hippodrome;2018-02-03
2565123;Williamson;Rhodes;Avenue de l'Observatoire;2017-11-18
2565124;Montgomery;Rice;Avenue de l'Opéra;2010-05-30
2565125;Harvey;Richards;Avenue de Lowendal;2013-06-13
2565126;Oliver;Richardson;Avenue de Malakoff;2014-09-06
2565127;Howell;Riley;Avenue de Marigny;2019-06-25
2565128;Dean;Rios;Avenue de Mazagran;2010-04-30
2565129;Hanson;Rivera;Avenue de Messine;2021-03-13
2565130;Weber;Roberts;Avenue de Montespan;2020-11-15
2565131;Garrett;Robertson;Avenue de Montmorency;2017-05-02
2565132;Sims;Robinson;Avenue de Neuilly;2015-03-21
2565133;Burton;Rodriguez;Avenue de New York;2019-03-25
2565134;Fuller;Rogers;Avenue de Nogent;2012-04-08
2565135;Soto;Romero;Avenue de Péterhof;2010-10-02
2565136;Mccoy;Rose;Avenue de Pologne;2014-01-19
2565137;Welch;Ross;Avenue de Provence;2013-07-11
2565138;Chen;Ruiz;Avenue de Rouvray;2016-01-04
2565139;Schultz;Russell;Avenue de Ségur;2016-04-20
2565140;Walters;Ryan;Avenue de Saint-Cloud;2010-08-18
2565141;Reid;Salazar;Avenue de Saint-Mandé;2019-12-30
2565142;Fields;Sanchez;Avenue de Saint-Maurice;2013-10-21
2565143;Walsh;Sanders;Avenue de Saint-Ouen;2011-08-04
2565144;Little;Sandoval;Avenue de Salonique;2020-12-13
2565145;Fowler;Santiago;Avenue de Saxe;2016-01-19
2565146;Bowman;Santos;Avenue de Selves;2020-01-25
2565147;Davidson;Schmidt;Avenue de Suffren;2010-12-07
2565148;May;Schneider;Avenue de Taillebourg;2015-07-09
2565149;Day;Schultz;Avenue de Tourville;2014-03-17
2565150;Schneider;Schwartz;Avenue de Valois;2014-01-08
2565151;Newman;Scott;Avenue de Verdun;2018-02-06
2565152;Brewer;Shaw;Avenue de Versailles;2018-02-02
2565153;Lucas;Shelton;Avenue de Verzy;2012-07-19
2565154;Holland;Silva;Avenue de Villars;2021-01-22
2565155;Wong;Simmons;Avenue de Villiers;2020-12-09
2565156;Banks;Simpson;Avenue de Wagram;2017-11-30
2565157;Santos;Sims;Avenue Debidour;2011-08-16
2565158;Curtis;Smith;Avenue Delcassé;2014-01-26
2565159;Pearson;Snyder;Avenue Delecourt;2018-12-20
2565160;Delgado;Soto;Avenue Denfert-Rochereau;2022-03-24
2565161;Valdez;Spencer;Avenue des Alouettes;2014-01-06
2565162;Pena;Stanley;Avenue des Arts;2014-06-05
2565163;Rios;Steele;Avenue des Canadiens;2022-01-03
2565164;Douglas;Stephens;Avenue des Chalets;2011-06-07
2565165;Sandoval;Stevens;Avenue des Champs Elysées;2015-01-31
2565166;Barrett;Stewart;Avenue des Chasseurs;2014-12-11
2565167;Hopkins;Stone;Avenue des Gobelins;2018-05-04
2565168;Keller;Sullivan;Avenue des Marnes;2020-01-23
2565169;Guerrero;Sutton;Avenue des Minimes;2019-11-07
2565170;Stanley;Taylor;Avenue des Nations Unies;2020-02-14
2565171;Bates;Thomas;Avenue des Pavillons;2013-03-25
2565172;Alvarado;Thompson;Avenue des Peupliers;2015-06-28
2565173;Beck;Torres;Avenue des Portugais;2022-06-21
2565174;Ortega;Tran;Avenue des Sycomores;2016-12-29
2565175;Wade;Tucker;Avenue des Ternes;2010-06-17
2565176;Estrada;Turner;Avenue des Terroirs de France;2010-03-07
2565177;Contreras;Valdez;Avenue des Tilleuls;2015-07-11
2565178;Barnett;Vargas;Avenue des Tilleuls 12 âme;2021-11-10
2565179;Caldwell;Vasquez;Avenue des Tribunes;2013-06-16
2565180;Santiago;Vaughn;Avenue d'Eylau;2016-11-11
2565181;Lambert;Vazquez;Avenue d'Iéna;2011-03-10
2565182;Powers;Vega;Avenue d'Italie;2013-06-10
2565183;Chambers;Wade;Avenue d'Ivry;2010-04-18
2565184;Nunez;Wagner;Avenue Dode de la Brunerie;2021-09-09
2565185;Craig;Walker;Avenue Dorian;2010-07-06
2565186;Leonard;Wallace;Avenue du Bel Air;2019-01-29
2565187;Lowe;Walsh;Avenue du Belvédâre;2022-08-22
2565188;Rhodes;Walters;Avenue du Cimetiâre des Batignolles;2017-05-25
2565189;Byrd;Ward;Avenue du Colonel Bonnet;2019-12-01
2565190;Gregory;Warren;Avenue du Colonel Henri Rol-Tanguy;2019-07-29
2565191;Shelton;Washington;Avenue du Coq;2015-09-16
2565192;Frazier;Watkins;Avenue du Docteur Arnold Netter;2016-04-01
2565193;Becker;Watson;Avenue du Docteur Brouardel;2020-02-07
2565194;Maldonado;Watts;Avenue du Docteur Gley;2015-06-04
2565195;Fleming;Weaver;Avenue du Docteur Lannelongue;2010-06-18
2565196;Vega;Webb;Avenue du Général Balfourier;2019-02-12
2565197;Sutton;Weber;Avenue du Général Clavery;2022-10-06
2565198;Cohen;Welch;Avenue du Général Détrie;2011-12-17
2565199;Jennings;Wells;Avenue du Général Dodds;2017-12-15
2565200;Parks;West;Avenue du Général Dubail;2021-06-25
2565201;Mcdaniel;Wheeler;Avenue du Général Eisenhower;2015-02-21
2565202;Watts;White;Avenue du Général Ferrié;2022-01-24
2565203;Barker;Williams;Avenue du Général Laperrine;2017-03-23
2565204;Norris;Williamson;Avenue du Général Leclerc;2018-12-13
2565205;Vaughn;Willis;Avenue du Général Lemonnier;2013-02-28
2565206;Vazquez;Wilson;Avenue du Général Maistre;2017-03-15
2565207;Holt;Wong;Avenue du Général Mangin;2016-08-05
2565208;Schwartz;Wood;Avenue du Général Marguerite;2013-08-20
2565209;Steele;Woods;Avenue du Général Messimy;2022-01-12
2565210;Benson;Wright;Avenue du Général Michel Bizot;2012-08-30
2565211;Neal;Young;Avenue du Général San Marti;2013-02-05
